feature1,feature2,feature3,target
12.269858919934261,green,2024-01-01,B
11.828659657066591,green,2024-01-02,A
,blue,2024-01-03,B
8.550662612362917,red,2024-01-04,B
4.746684297397492,green,2024-01-05,A
8.964577415940106,blue,2024-01-06,B
7.963682834760304,green,2024-01-07,A
10.650550721005871,red,2024-01-08,B
9.41144604705747,green,2024-01-09,B
10.311545172127062,red,2024-01-10,B
,blue,2024-01-11,B
8.774015555362888,blue,2024-01-12,B
9.862777780804457,blue,2024-01-13,B
10.695016263361124,blue,2024-01-14,A
12.068476474522125,green,2024-01-15,B
10.142934837194735,blue,2024-01-16,B
10.368228919080845,red,2024-01-17,B
11.280387321586709,blue,2024-01-18,A
,red,2024-01-19,A
12.7834703692902,green,2024-01-20,A
9.237629760493999,,2024-01-21,A
7.799555214505075,red,2024-01-22,A
7.522892720819986,red,2024-01-23,A
8.398366203494431,green,2024-01-24,B
8.555505072286712,green,2024-01-25,B
11.850867359264527,blue,2024-01-26,A
10.724804804863757,red,2024-01-27,B
6.887741403796349,green,2024-01-28,B
11.865030066885463,,2024-01-29,A
9.210805601519958,blue,2024-01-30,A
10.143115970635616,green,2024-01-31,A
,red,2024-02-01,B
7.180832793572488,blue,2024-02-02,A
11.282795339885476,blue,2024-02-03,A
8.859272036222126,blue,2024-02-04,B
12.624599624607933,red,2024-02-05,B
11.892753985817768,green,2024-02-06,A
12.622149851601142,blue,2024-02-07,A
,,2024-02-08,B
16.106729837239335,blue,2024-02-09,A
11.357604814658972,green,2024-02-10,A
10.78671167878788,blue,2024-02-11,B
9.041966244400742,blue,2024-02-12,A
13.492869915966647,green,2024-02-13,A
8.535471952141648,green,2024-02-14,B
13.38981918749866,blue,2024-02-15,B
10.116928606119739,green,2024-02-16,A
11.239321268245423,,2024-02-17,A
9.260761120050601,red,2024-02-18,A
,green,2024-02-19,B
9.9903624863027,red,2024-02-20,B
8.765608305448337,red,2024-02-21,A
6.773257310447841,blue,2024-02-22,A
8.636590534761375,,2024-02-23,B
10.55950181832786,blue,2024-02-24,B
10.156940643427195,blue,2024-02-25,A
9.60721040541097,green,2024-02-26,B
12.031344562612436,green,2024-02-27,B
13.447678596974596,green,2024-02-28,B
9.816129529616855,blue,2024-02-29,B
9.76254824214747,red,2024-03-01,A
10.438124381103886,red,2024-03-02,B
5.830082147739446,,2024-03-03,B
12.059465186690728,red,2024-03-04,B
7.968236452613608,green,2024-03-05,A
8.09541555624287,red,2024-03-06,A
6.447354388636068,green,2024-03-07,A
9.787897989053691,red,2024-03-08,B
7.19635609719765,,2024-03-09,B
8.850482466086968,blue,2024-03-10,B
10.051370533135954,blue,2024-03-11,B
9.692544604437744,green,2024-03-12,A
9.09447192668727,red,2024-03-13,A
11.728175169064269,red,2024-03-14,B
8.055585616838984,red,2024-03-15,B
11.600798591290223,red,2024-03-16,A
11.633577722261668,red,2024-03-17,A
10.59937713907348,green,2024-03-18,B
9.89403861877456,red,2024-03-19,B
8.952909548867733,,2024-03-20,A
7.390907581140537,blue,2024-03-21,A
13.970728912278926,blue,2024-03-22,A
8.61391723868661,blue,2024-03-23,A
12.418516896807457,blue,2024-03-24,B
7.880971353055548,blue,2024-03-25,B
,green,2024-03-26,A
10.376549029778559,blue,2024-03-27,B
8.469566383074554,red,2024-03-28,B
,blue,2024-03-29,B
9.820019807201449,green,2024-03-30,B
7.689070000751084,red,2024-03-31,A
7.60213230558435,red,2024-04-01,A
11.140882918982093,red,2024-04-02,A
7.294341932219864,blue,2024-04-03,B
7.702166710202443,green,2024-04-04,A
6.337336021669443,green,2024-04-05,B
9.969570935556833,,2024-04-06,A
8.571671550754314,blue,2024-04-07,B
11.161986605603289,green,2024-04-08,A
10.376307925890977,blue,2024-04-09,A
8.574854582235332,blue,2024-04-10,A
11.89134996755633,blue,2024-04-11,A
,green,2024-04-12,A
11.104945734933615,green,2024-04-13,B
7.701251644031062,red,2024-04-14,A
12.132646236655924,green,2024-04-15,A
9.715606622376932,green,2024-04-16,B
8.01006181180858,green,2024-04-17,A
7.443075561207753,,2024-04-18,B
8.51389548380649,green,2024-04-19,B
,blue,2024-04-20,B
11.198623473507626,blue,2024-04-21,A
12.764584237169103,blue,2024-04-22,B
10.63829894491172,blue,2024-04-23,A
,blue,2024-04-24,A
10.89440930509714,green,2024-04-25,A
10.468614430448767,red,2024-04-26,A
10.964094055158542,blue,2024-04-27,B
11.182197875726883,blue,2024-04-28,B
5.2201827424742975,blue,2024-04-29,A
,red,2024-04-30,A
12.68447288115338,red,2024-05-01,A
10.616778522319828,red,2024-05-02,B
,red,2024-05-03,B
12.457896600421748,blue,2024-05-04,B
9.171503893104344,red,2024-05-05,B
9.113486033764856,blue,2024-05-06,A
10.63837573694095,green,2024-05-07,A
7.462649009696836,green,2024-05-08,A
10.901913200360026,green,2024-05-09,A
9.50619352368676,blue,2024-05-10,A
8.601630128268203,blue,2024-05-11,B
11.862422587823932,green,2024-05-12,A
8.822043577644719,,2024-05-13,A
9.926726439543542,red,2024-05-14,B
9.708085114053365,green,2024-05-15,A
7.68632568174489,green,2024-05-16,B
8.712306816633669,green,2024-05-17,B
7.989664886481027,blue,2024-05-18,A
,green,2024-05-19,A
7.7670871420999585,green,2024-05-20,B
9.711770549453805,blue,2024-05-21,B
13.081990634811822,green,2024-05-22,B
11.392212554564855,green,2024-05-23,B
12.758124565465119,,2024-05-24,B
11.580495696849445,red,2024-05-25,A
7.731462682648672,,2024-05-26,B
9.263439372361875,green,2024-05-27,B
7.126696944372315,green,2024-05-28,B
8.54666983045796,blue,2024-05-29,A
